n,det,condition_number,max_GS_norm,sigma,time_per_sample_ms,x1_std,sample_diversity,mean_magnitude
16,-5.757955560783508e+23,11.261923416543658,35.94989227655649,53.92483841483474,0.813140721321106,2.5635288175480904,1.0,0.006897499999999999
32,-7.565075974665876e+52,47.37436903544591,74.444610281739,111.6669154226085,2.3237007188797,5.134133620037989,1.0,0.0175125
64,-8.541488769786015e+118,155.76522706358642,140.62005546862795,210.93008320294194,7.0384527826309204,6.606893660382348,1.0,0.043580625000000005
